Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Agora Jeux,Chroniques Oubliées Fantasy 2 édition Deluxe (alternatif)...,chroniques-oubliees-fantasy-2-edition-deluxe-alternatif,https://www.agorajeux.com/43999-home_default/chroniques-oubliees-fantasy-2-edition-deluxe-alternatif.jpg,37.82,32.82,https://www.agorajeux.com/fr/chroniques-oubliees/17112-chroniques-oubliees-fantasy-2-edition-deluxe-alternatif.html,,,,,,,,
Agora Jeux,COF 2 Atlas d'Osgild & règles optionnelles - légèrement...,cof-2-atlas-d-osgild-regles-optionnelles-legerement,https://www.agorajeux.com/43998-home_default/cof-2-atlas-d-osgild-regles-optionnelles.jpg,37.82,32.15,https://www.agorajeux.com/fr/chroniques-oubliees/17111-cof-2-atlas-d-osgild-regles-optionnelles.html,,,,,,,,
Agora Jeux,AI 100% Human,ai-100-human,https://www.agorajeux.com/43054-home_default/ai-100-human.jpg,25.00,20.00,https://www.agorajeux.com/fr/jeux-de-cartes/16937-ai-100-human.html,,,,,,,,
Agora Jeux,Galactic Renaissance,galactic-renaissance,https://www.agorajeux.com/42079-home_default/galactic-renaissance.jpg,66.67,50.00,https://www.agorajeux.com/fr/jeux-de-strategie/16758-galactic-renaissance.html,2,4,90,90,90,14,https://cf.geekdo-images.com/Af7WBXcjbTuWPRAaPWm45A__original/img/vqd9ipTTUtgQ_Xhc7pP0uxZMOFA=/0x0/filters:format(jpeg)/pic7364206.jpg,https://boardgamegeek.com/boardgame/365526/
Agora Jeux,Footprints,footprints,https://www.agorajeux.com/41851-home_default/footprints.jpg,33.33,25.00,https://www.agorajeux.com/fr/jeux-de-strategie/16719-footprints.html,2,12,0,0,0,8,https://cf.geekdo-images.com/9vI_Wvp0eAqTk4rZ2wgfXA__original/img/UxU-5Ho__Vd5ZynL5rfuw2ywpzo=/0x0/filters:format(jpeg)/pic1603959.jpg,https://boardgamegeek.com/boardgame/139687/
Agora Jeux,365 Aventures - Le Donjon,365-aventures-le-donjon,https://www.agorajeux.com/41718-home_default/365-aventures-le-donjon.jpg,12.42,10.75,https://www.agorajeux.com/fr/jeux-gigamic/16682-365-aventures-le-donjon.html,1,1,5,2,5,14,https://cf.geekdo-images.com/xTnG122cWZhOdoI89XLKRg__original/img/TOwma_-0E994fEc5wWHQaQvZaAE=/0x0/filters:format(jpeg)/pic8284447.jpg,https://boardgamegeek.com/boardgame/424055/
Agora Jeux,Inori,inori,https://www.agorajeux.com/41690-home_default/inori.jpg,30.00,27.00,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16676-inori.html,2,4,30,30,30,10,https://cf.geekdo-images.com/ly9FxByzM8tdYvF7ROKMZQ__original/img/1QiN6WS6PM5BtJOgIFB_YCFsZ7E=/0x0/filters:format(jpeg)/pic8273127.jpg,https://boardgamegeek.com/boardgame/415938/
Agora Jeux,Fireworks,fireworks,https://www.agorajeux.com/41683-home_default/fireworks.jpg,23.33,18.66,https://www.agorajeux.com/fr/jeux-d-ambiance/16675-fireworks.html,2,4,20,20,20,6,https://cf.geekdo-images.com/pqfQJstjSI_G4wOfK7uBvw__original/img/4HpNWXrlQtPPqQ8XkhCBfnHqLQU=/0x0/filters:format(jpeg)/pic4184072.jpg,https://boardgamegeek.com/boardgame/227162/
Agora Jeux,Tree Society,tree-society,https://www.agorajeux.com/41667-home_default/tree-society.jpg,29.17,23.33,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16672-tree-society.html,2,4,45,30,45,8,https://cf.geekdo-images.com/sx6284Fv2m-VHjGes1pADw__original/img/PGOKdJyiJtTXYB_Ly5V9_eR9jmE=/0x0/filters:format(png)/pic8273396.png,https://boardgamegeek.com/boardgame/423698/
Agora Jeux,Stickers (+ booster bonus),stickers-booster-bonus,https://www.agorajeux.com/41644-home_default/stickers.jpg,22.50,19.92,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16665-stickers.html,,,,,,,,
Agora Jeux,Kitsu,kitsu,https://www.agorajeux.com/41489-home_default/kitsu.jpg,12.50,10.00,https://www.agorajeux.com/fr/jeux-a-deux/16634-kitsu.html,2,6,25,25,25,10,https://cf.geekdo-images.com/FqJK4RkGf47bcs1udNnO2A__original/img/7bTC-gqlbgOhPCmhok5ckIn7xqQ=/0x0/filters:format(jpeg)/pic8562099.jpg,https://boardgamegeek.com/boardgame/429411/
Agora Jeux,Raider Drop Zone,raider-drop-zone,https://www.agorajeux.com/41433-home_default/raider-drop-zone.jpg,83.25,66.60,https://www.agorajeux.com/fr/wargames-historiques-jeux-de-strategie-de-guerre/16621-raider-drop-zone.html,2,2,480,60,480,14,https://cf.geekdo-images.com/9BJfzwU77rOAmjzW2S8xIg__original/img/iAC02BljmHTN-tiY5pMgCaWNCjY=/0x0/filters:format(png)/pic8270951.png,https://boardgamegeek.com/boardgame/423587/
