Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url,Promotion
Agora Jeux,Chroniques Oubliées Fantasy 2 édition Deluxe,chroniques-oubliees-fantasy-2-edition-deluxe,https://www.agorajeux.com/43999-home_default/chroniques-oubliees-fantasy-2-edition-deluxe-alternatif.jpg,37.82,32.82,https://www.agorajeux.com/fr/chroniques-oubliees/17112-chroniques-oubliees-fantasy-2-edition-deluxe-alternatif.html,,,,,,,,,Oui
Agora Jeux,COF 2 Atlas d'Osgild & règles optionnelles - légèrement...,cof-2-atlas-d-osgild-regles-optionnelles-legerement,https://www.agorajeux.com/43998-home_default/cof-2-atlas-d-osgild-regles-optionnelles.jpg,37.82,32.15,https://www.agorajeux.com/fr/chroniques-oubliees/17111-cof-2-atlas-d-osgild-regles-optionnelles.html,,,,,,,,,Oui
Agora Jeux,AI 100% Human,ai-100-human,https://www.agorajeux.com/43054-home_default/ai-100-human.jpg,25.00,20.00,https://www.agorajeux.com/fr/jeux-de-cartes/16937-ai-100-human.html,1,6,45,30,45,14,,,Oui
Agora Jeux,Galactic Renaissance,galactic-renaissance,https://www.agorajeux.com/42079-home_default/galactic-renaissance.jpg,66.67,50.00,https://www.agorajeux.com/fr/jeux-de-strategie/16758-galactic-renaissance.html,2,4,90,90,90,14,,,Oui
Agora Jeux,Footprints,footprints,https://www.agorajeux.com/41851-home_default/footprints.jpg,33.33,25.00,https://www.agorajeux.com/fr/jeux-de-strategie/16719-footprints.html,2,12,0,0,0,8,,,Oui
Agora Jeux,365 Aventures - Le Donjon,365-aventures-le-donjon,https://www.agorajeux.com/41718-home_default/365-aventures-le-donjon.jpg,12.42,10.75,https://www.agorajeux.com/fr/jeux-gigamic/16682-365-aventures-le-donjon.html,1,1,5,2,5,14,,,Oui
Agora Jeux,Inori,inori,https://www.agorajeux.com/41690-home_default/inori.jpg,30.00,27.00,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16676-inori.html,2,4,30,30,30,10,,,Oui
Agora Jeux,Fireworks,fireworks,https://www.agorajeux.com/41683-home_default/fireworks.jpg,23.33,18.66,https://www.agorajeux.com/fr/jeux-d-ambiance/16675-fireworks.html,2,4,20,20,20,6,,,Oui
Agora Jeux,Tree Society,tree-society,https://www.agorajeux.com/41667-home_default/tree-society.jpg,29.17,23.33,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16672-tree-society.html,2,4,45,30,45,8,,,Oui
Agora Jeux,Stickers,stickers,https://www.agorajeux.com/41644-home_default/stickers.jpg,22.50,19.92,https://www.agorajeux.com/fr/les-jeux-pour-toute-la-famille/16665-stickers.html,2,4,30,15,30,8,,,Oui
Agora Jeux,Kitsu,kitsu,https://www.agorajeux.com/41489-home_default/kitsu.jpg,12.50,10.00,https://www.agorajeux.com/fr/jeux-a-deux/16634-kitsu.html,2,6,25,25,25,10,,,Oui
Agora Jeux,Raider Drop Zone,raider-drop-zone,https://www.agorajeux.com/41433-home_default/raider-drop-zone.jpg,83.25,66.60,https://www.agorajeux.com/fr/wargames-historiques-jeux-de-strategie-de-guerre/16621-raider-drop-zone.html,2,2,480,60,480,14,,,Oui
