Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New,Promotion
La Règle du Jeu,COAL BARON,coal-baron,https://laregledujeu.fr/wp-content/uploads/2024/12/coal-baron-300x300.jpg,35.00,24.50,https://laregledujeu.fr/produit/coal-baron/,,,,,,,,Oui
La Règle du Jeu,REFUGE,refuge,https://laregledujeu.fr/wp-content/uploads/2024/11/REFUGE-300x300.jpg,30.00,24.00,https://laregledujeu.fr/produit/refuge/,,,,,,,,Oui
La Règle du Jeu,DISNEY LORCANA - LA MER AZURITE - LE COFFRET CADEAU STITCH,disney-lorcana-la-mer-azurite-le-coffret-cadeau-stitch,https://laregledujeu.fr/wp-content/uploads/2024/11/lorcana-coffret-collector-stitch-la-mer-azurite-300x300.jpg,50.00,35.00,https://laregledujeu.fr/produit/disney-lorcana-sixieme-chapitre-le-coffret-cadeau/,,,,,,,,Oui
La Règle du Jeu,AETHERYA II - LA GENÈSE,aetherya-ii-la-genese,https://laregledujeu.fr/wp-content/uploads/2024/11/AETHERYA-II-La-Genese-300x300.jpg,35.00,24.50,https://laregledujeu.fr/produit/aetherya-ii-la-genese/,,,,,,,,Oui
La Règle du Jeu,DIVINUS - L'OMBRE D'YGGDRASIL,divinus-l-ombre-d-yggdrasil,https://laregledujeu.fr/wp-content/uploads/2024/11/DIVINUS-–-Ext.-Shadows-of-Yggdrasil-300x300.jpg,45.00,31.50,https://laregledujeu.fr/produit/divinus-extension-lombre-dyggdrasil/,,,,,,,,Oui
La Règle du Jeu,TREOS,treos,https://laregledujeu.fr/wp-content/uploads/2024/11/TREOS-300x300.jpg,40.00,28.00,https://laregledujeu.fr/produit/treos/,2,4,80,40,80,10,,Oui
La Règle du Jeu,WHO'S NEXT ?,who-s-next,https://laregledujeu.fr/wp-content/uploads/2024/11/WHOS-NEXT-300x300.jpg,14.50,10.15,https://laregledujeu.fr/produit/who-s-next/,3,7,40,15,40,8,,Oui
La Règle du Jeu,OUT OF STOCK,out-of-stock,https://laregledujeu.fr/wp-content/uploads/2024/11/OUT-OF-SOCK-300x300.jpg,20.10,14.07,https://laregledujeu.fr/produit/out-of-stock/,,,,,,,,Oui
La Règle du Jeu,TRIANGLE D'ACTIVITES MIROIR JACK LE LION - LILLIPUTIENS,triangle-d-activites-miroir-jack-le-lion-lilliputiens,https://laregledujeu.fr/wp-content/uploads/2024/10/triangle-d-activites-miroir-jack-le-lion-300x300.jpg,39.90,35.91,https://laregledujeu.fr/produit/jack-miroir-triangle-dactivites-lilliputiens/,,,,,,,,Oui
La Règle du Jeu,VOITURE D'ACTIVITES SAFARI JACK LE LION - LILLIPUTIENS,voiture-d-activites-safari-jack-le-lion-lilliputiens,https://laregledujeu.fr/wp-content/uploads/2024/10/voiture-d-activites-safari-jack-7-300x300.jpg,35.00,31.50,https://laregledujeu.fr/produit/jack-voiture-dactivites-safari-lilliputiens/,,,,,,,,Oui
La Règle du Jeu,MERCREDI - L'ATTAQUE DU HYDE,mercredi-l-attaque-du-hyde,https://laregledujeu.fr/wp-content/uploads/2024/10/MERCREDI-LATTAQUE-DU-HYDE-300x300.jpg,25.00,17.50,https://laregledujeu.fr/produit/mercredi-lattaque-du-hyde/,,,,,,,,Oui
La Règle du Jeu,TORIKI - L'ÎLE DES NAUFRAGÉS,toriki-l-ile-des-naufrages,https://laregledujeu.fr/wp-content/uploads/2024/10/TORIKI-Lile-des-naufrages-300x300.jpg,30.00,21.00,https://laregledujeu.fr/produit/toriki-l-ile-des-naufrages/,1,4,600,20,600,8,,Oui
La Règle du Jeu,DILUVIUM,diluvium,https://laregledujeu.fr/wp-content/uploads/2024/10/DILUVIUM-300x300.jpg,42.00,29.40,https://laregledujeu.fr/produit/diluvium/,,,,,,,,Oui
La Règle du Jeu,SURFOSAURUS MAX,surfosaurus-max,https://laregledujeu.fr/wp-content/uploads/2024/10/SURFOSAURUS-MAX-300x300.jpg,20.40,14.28,https://laregledujeu.fr/produit/surfosaurus-max/,2,6,20,20,20,10,,Oui
La Règle du Jeu,HORREUR À ARKHAM - LE JEU DE RÔLE : L'INSATIABLE ABYSSE,horreur-a-arkham-le-jeu-de-role-l-insatiable-abysse,https://laregledujeu.fr/wp-content/uploads/2024/10/HORREUR-A-ARKHAM-JDR-LINSATIABLE-ABYSSE-COFFRET-300x300.jpg,35.00,28.00,https://laregledujeu.fr/produit/horreur-a-arkham-le-jeu-de-role/,,,,,,,,Oui
La Règle du Jeu,365 AVENTURES - LE DONJON,365-aventures-le-donjon,https://laregledujeu.fr/wp-content/uploads/2024/09/365-aventures-le-donjon-300x300.jpg,14.90,10.43,https://laregledujeu.fr/produit/365-aventures-le-donjon/,,,,,,,,Oui
La Règle du Jeu,FOOTPRINTS,footprints,https://laregledujeu.fr/wp-content/uploads/2024/10/footprints-300x300.jpg,40.00,28.00,https://laregledujeu.fr/produit/footprints/,,,,,,,,Oui
