Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
Golden Meeple,EV06.5 Fable Nébuleuse – Mini Tin,ev06-5-fable-nebuleuse-mini-tin,https://www.goldenmeeple.be/wp-content/uploads/2024/06/EV06.5-Fable-Nebuleuse-Mini-Tin-Display-200x200.jpg,11.90,9.90,https://www.goldenmeeple.be/produit/ev06-5-fable-nebuleuse-mini-tin/,,,,,,,,
Golden Meeple,Carolingi VO,carolingi,https://www.goldenmeeple.be/wp-content/uploads/2024/12/Carolingi-200x200.jpg,95.60,85.50,https://www.goldenmeeple.be/produit/carolingi-vo/,2,6,180,60,180,12,https://cf.geekdo-images.com/Dexo2oB9TBBtv9I2eQTG-g__original/img/SgFaanA7jhuiGUOYBlRIYktzRoc=/0x0/filters:format(jpeg)/pic7086050.jpg,https://boardgamegeek.com/boardgame/370853/
Golden Meeple,Unconscious Mind – La Société du Mercredi,unconscious-mind,https://www.goldenmeeple.be/wp-content/uploads/2024/10/unconscious-mind-la-societe-du-mercredi-200x200.jpg,70.20,62.90,https://www.goldenmeeple.be/produit/unconscious-mind-la-societe-du-mercredi/,1,4,120,60,120,12,https://cf.geekdo-images.com/ufkAbhulnKJ7uDpi09TXOQ__original/img/hhBc0bcNj9U3t-4trByrjrO8-ro=/0x0/filters:format(jpeg)/pic7127448.jpg,https://boardgamegeek.com/boardgame/329500/
Golden Meeple,Ark Nova – Pack Plateau Zoo 2,ark-nova-pack-plateau-zoo-2,https://www.goldenmeeple.be/wp-content/uploads/2024/11/ark-nova-pack-zoo-n2-plateau-zoo-rectoverso-extension-1-200x200.jpg,11.20,10.90,https://www.goldenmeeple.be/produit/ark-nova-pack-plateau-zoo-2/,,,,,,,,
Golden Meeple,Ratzia,ratzia,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ratzia_0-200x200.jpg,40.00,25.50,https://www.goldenmeeple.be/produit/ratzia/,2,5,45,45,45,12,https://cf.geekdo-images.com/jZ2RMeD_igxwJ0QRznsaSA__original/img/qnpH9YPZXx9DQj-hqX-mARvIQrA=/0x0/filters:format(png)/pic8284825.png,https://boardgamegeek.com/boardgame/12589/
Golden Meeple,Râ and Write,ra-and-write,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra__Write_0-200x200.jpg,46.00,29.90,https://www.goldenmeeple.be/produit/ra-and-write/,2,5,20,20,20,12,https://cf.geekdo-images.com/NPnGVHfC58mldp4MBQurAQ__original/img/bY1o1ToqSfZT0F5W3JzRouB_MeI=/0x0/filters:format(png)/pic8250216.png,https://boardgamegeek.com/boardgame/422796/
Golden Meeple,Râ : Traders KS Standard Edition,ra-traders-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders-200x200.jpg,34.50,24.90,https://www.goldenmeeple.be/produit/ra-traders-ks-standard-edition/,,,,,,,,
Golden Meeple,Râ : Traders KS Pharaoh Edition,ra-traders-ks-pharaoh-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/11/Ra_Traders_Pharoah-200x200.jpg,40.00,29.90,https://www.goldenmeeple.be/produit/ra-traders-ks-pharoah-edition/,,,,,,,,
Golden Meeple,Râ KS Pharaoh Edition,ra-ks-pharaoh-edition,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00-200x200.jpg,120.00,109.90,https://www.goldenmeeple.be/produit/ra-deluxe-edition/,,,,,,,,
Golden Meeple,Râ KS Standard Edition,ra-ks-standard-edition,https://www.goldenmeeple.be/wp-content/uploads/2022/09/Ra-Deluxe-edition-00-200x200.jpg,63.00,49.50,https://www.goldenmeeple.be/produit/ra/,,,,,,,,
Golden Meeple,Ada’s Dream KS Deluxe Edition,adas-dream-ks-deluxe-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/10/Adas_Dream_0-200x200.jpg,103.00,79.00,https://www.goldenmeeple.be/produit/adas-dream-ks-deluxe-edition/,,,,,,,,
Golden Meeple,Yokai Septet KS Pocket Edition,yokai-septet-ks-pocket-edition,https://www.goldenmeeple.be/wp-content/uploads/2024/10/Yokai_Septet_0-200x200.jpg,19.50,17.50,https://www.goldenmeeple.be/produit/yokai-septet-ks-pocket-edition/,,,,,,,,
Golden Meeple,Indonesia,indonesia,https://www.goldenmeeple.be/wp-content/uploads/2024/10/indonesia-200x200.jpg,108.00,90.00,https://www.goldenmeeple.be/produit/indonesia/,2,5,240,180,240,14,https://cf.geekdo-images.com/H1nnDvsIaK-Hj8vOT-wYfQ__original/img/bV61N2g6P4ubLKtUL4yvjY1ielM=/0x0/filters:format(jpeg)/pic8210703.jpg,https://boardgamegeek.com/boardgame/19777/
Golden Meeple,Sankoré,sankore,https://www.goldenmeeple.be/wp-content/uploads/2024/10/sankore-200x200.jpg,72.00,67.50,https://www.goldenmeeple.be/produit/sankore/,1,4,180,150,180,14,https://cf.geekdo-images.com/28jZrGyS6xja-rSxSs8zWQ__original/img/9l81IKpRnQgEDgu1_UQP9cFdoCM=/0x0/filters:format(jpeg)/pic7414454.jpg,https://boardgamegeek.com/boardgame/382518/
Golden Meeple,EV07 Couronne Stéllaire – Coffret Dresseur...,ev07-couronne-stellaire-coffret-dresseur,https://www.goldenmeeple.be/wp-content/uploads/2024/09/EV07-Couronne-Stellaire-Coffret-Dresseur-Delite-200x200.jpg,55.90,47.90,https://www.goldenmeeple.be/produit/ev07-couronne-stellaire-coffret-dresseur-delite/,,,,,,,,
Golden Meeple,Trailblazer The Arizona Trail Kickstarter Deluxe...,trailblazer-the-arizona-trail-kickstarter-deluxe,https://www.goldenmeeple.be/wp-content/uploads/2024/06/Trailblazer-The-Arizona-Trail-Deluxe-Edition-200x200.jpg,128.50,102.00,https://www.goldenmeeple.be/produit/trailblazer-the-arizona-trail-kickstarter-deluxe-edition-bundle/,,,,,,,,
